TNum,PowScore,QP,RP,AvgScore,WinRate
6950,0.472000,6,393,109.199997,0.600000
6508,7.584001,4,469,125.800003,0.400000
3795,-16.280003,2,397,79.599998,0.200000
61,2.924000,2,484,105.599998,0.200000
395,3.776001,4,396,111.400002,0.400000
4134,-14.763998,2,387,78.000000,0.200000
118,-12.580000,4,406,90.000000,0.400000
7314,-3.859999,6,369,105.000000,0.600000
230,-1.035999,6,479,118.199997,0.600000
4399,1.932000,2,502,105.800003,0.200000
4977,-7.716001,6,358,126.199997,0.600000
7423,-4.172000,6,379,104.400002,0.600000
5944,-0.364000,6,506,114.599998,0.600000
7056,23.483999,6,475,154.199997,0.600000
6191,-23.535999,2,409,84.599998,0.200000
4347,41.948006,6,537,188.600006,0.600000
4433,28.196003,10,477,157.199997,1.000000
4999,14.668001,6,578,136.600006,0.600000
365,20.271999,10,436,158.199997,1.000000
7055,-0.732001,4,407,105.199997,0.400000